"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"62","Chris Manhertz",DEN,"vs. GB","3 out of 5 stars","F","0.6","","","",""
"63","Brycen Hopkins",LAR,"vs. PIT","3 out of 5 stars","F","0.6","","","",""
"64","Stone Smartt",LAC,"at KC","3 out of 5 stars","F","0.6","","","",""
"65","Nate Adkins",DEN,"vs. GB","3 out of 5 stars","F","0.5","","","",""
"66","Johnny Mundt",MIN,"vs. SF","3 out of 5 stars","F","0.5","","","",""
"67","Payne Durham",TB,"vs. ATL","3 out of 5 stars","F","0.4","","","",""
"68","Charlie Woerner",SF,"at MIN","3 out of 5 stars","F","0.4","","","",""
"69","Marcedes Lewis",CHI,"vs. LV","3 out of 5 stars","F","0.0","","","",""
"70","Ross Dwelley",SF,"at MIN","3 out of 5 stars","F","0.0","","","",""
"71","Ben Sims",GB,"at DEN","4 out of 5 stars","F","0.0","","","",""
"72","Charlie Kolar",BAL,"vs. DET","2 out of 5 stars","F","0.0","","","",""
"73","Tre' McKitty",LAC,"at KC","3 out of 5 stars","F","0.0","","","",""
"74","Grant Calcaterra",PHI,"vs. MIA","4 out of 5 stars","F","0.0","","","",""
"75","David Wells",TB,"vs. ATL","3 out of 5 stars","F","0.0","","","",""
"76","Darrell Daniels",FA,"-","-","F","0.0","","","",""
"77","Rodney Williams",PIT,"at LAR","5 out of 5 stars","F","0.0","","","",""
"78","James Mitchell",DET,"at BAL","3 out of 5 stars","F","0.0","","","",""
"79","Davis Allen",LAR,"vs. PIT","3 out of 5 stars","F","0.0","","","",""
"80","Tanner Conner",MIA,"at PHI","5 out of 5 stars","F","0.0","","","",""
"81","Tyler Kroft",MIA,"at PHI","5 out of 5 stars","F","0.0","","","",""
