"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"54","Tank Bigsby",JAC,"at NO","2 out of 5 stars","F","3.3","","","",""
"55","Matt Breida",NYG,"vs. WAS","3 out of 5 stars","F","3.2","","","",""
"56","Kendre Miller",NO,"vs. JAC","4 out of 5 stars","F","3.1","","","",""
"57","Darrynton Evans",CHI,"vs. LV","5 out of 5 stars","F","3.0","","","",""
"58","Zamir White",LV,"at CHI","4 out of 5 stars","F","2.7","","","",""
"59","Cordarrelle Patterson",ATL,"at TB","3 out of 5 stars","F","2.5","","","",""
"60","Boston Scott",PHI,"vs. MIA","5 out of 5 stars","F","2.2","","","",""
"61","Kyle Juszczyk",SF,"at MIN","2 out of 5 stars","F","2.0","","","",""
"62","Ameer Abdullah",LV,"at CHI","4 out of 5 stars","F","1.8","","","",""
"63","Chris Rodriguez Jr.",WAS,"at NYG","3 out of 5 stars","F","1.8","","","",""
"64","Myles Gaskin",LAR,"vs. PIT","3 out of 5 stars","F","1.8","","","",""
"65","DeeJay Dallas",SEA,"vs. ARI","4 out of 5 stars","F","1.7","","","",""
"66","Darrell Henderson Jr.",LAR,"vs. PIT","3 out of 5 stars","F","1.6","","","",""
"67","Keaton Mitchell",BAL,"vs. DET","2 out of 5 stars","F","1.3","","","",""
"68","Devine Ozigbo",DET,"at BAL","3 out of 5 stars","F","1.3","","","",""
"69","Ty Montgomery II",NE,"vs. BUF","4 out of 5 stars","F","1.2","","","",""
"70","Pierre Strong Jr.",CLE,"at IND","4 out of 5 stars","F","0.9","","","",""
"71","Alec Ingold",MIA,"at PHI","2 out of 5 stars","F","0.9","","","",""
"72","D'Ernest Johnson",JAC,"at NO","2 out of 5 stars","F","0.8","","","",""
"73","Sean Tucker",TB,"vs. ATL","3 out of 5 stars","F","0.6","","","",""
"74","Eric Gray",NYG,"vs. WAS","3 out of 5 stars","F","0.5","","","",""
"75","Isaiah Spiller",LAC,"at KC","2 out of 5 stars","F","0.5","","","",""
"76","C.J. Ham",MIN,"vs. SF","3 out of 5 stars","F","0.4","","","",""
"77","Patrick Ricard",BAL,"vs. DET","2 out of 5 stars","F","0.3","","","",""
"78","Khari Blasingame",CHI,"vs. LV","5 out of 5 stars","F","0.3","","","",""
"79","Travis Homer",CHI,"vs. LV","5 out of 5 stars","F","0.3","","","",""
"80","Reggie Gilliam",BUF,"at NE","3 out of 5 stars","F","0.3","","","",""
"81","Gary Brightwell",NYG,"vs. WAS","3 out of 5 stars","F","0.3","","","",""
"82","Chris Brooks",MIA,"at PHI","2 out of 5 stars","F","0.3","","","",""
"83","Ty Chandler",MIN,"vs. SF","3 out of 5 stars","F","0.3","","","",""
"84","Jakob Johnson",LV,"at CHI","4 out of 5 stars","F","0.2","","","",""
"85","Trey Sermon",IND,"vs. CLE","2 out of 5 stars","F","0.2","","","",""
"86","Keith Smith",ATL,"at TB","3 out of 5 stars","F","0.2","","","",""
"87","Tyrion Davis-Price",SF,"at MIN","2 out of 5 stars","F","0.2","","","",""
"88","Michael Burton",DEN,"vs. GB","5 out of 5 stars","F","0.1","","","",""
"89","Patrick Taylor Jr.",NE,"vs. BUF","4 out of 5 stars","F","0.0","","","",""
"90","Ty Johnson",BUF,"at NE","3 out of 5 stars","F","0.0","","","",""
"91","Melvin Gordon III",BAL,"vs. DET","2 out of 5 stars","F","0.0","","","",""
"92","Corey Clement",ARI,"at SEA","2 out of 5 stars","F","0.0","","","",""
"93","Deon Jackson",CLE,"at IND","4 out of 5 stars","F","0.0","","","",""
"94","Derrick Gore",WAS,"at NYG","3 out of 5 stars","F","0.0","","","",""
"95","Anthony McFarland Jr.",PIT,"at LAR","2 out of 5 stars","F","0.0","","","",""
"96","Emanuel Wilson",GB,"at DEN","4 out of 5 stars","F","0.0","","","",""
"97","Tony Jones Jr.",NO,"vs. JAC","4 out of 5 stars","F","0.0","","","",""
"98","Kenyan Drake",FA,"-","-","F","0.0","","","",""
"99","Kene Nwangwu",MIN,"vs. SF","3 out of 5 stars","F","0.0","","","",""
